key,en,fr,es,ar
plat_stock_span_3,Auto-alert: Barcoded labels below 20% threshold,Alerte automatique : Étiquettes à code-barres en dessous du seuil de 20 %,Alerta automática: Etiquetas con código de barras por debajo del umbral del 20%,تنبيه تلقائي: الملصقات المشفرة بالباركود أقل من عتبة 20%
plat_stock_span_4,RFID batch #447 activated — Centre B,Lot RFID n°447 activé — Centre B,Lote RFID #447 activado — Centro B,تم تفعيل دفعة RFID رقم 447 — المركز ب
plat_stock_div_9,Logistics,Logistique,Logística,اللوجستيات
plat_stock_h2_1,Panelist materials and<br/>stock management,Matériel des panélistes et<br/>gestion des stocks,Materiales para panelistas y<br/>gestión de stock,مواد المشاركين و<br/>إدارة المخزون
plat_stock_p_1,"Track and manage all physical measurement materials — test items, barcodes, RFID tags — across the entire panelist network. Full traceability from production to deployment to return.","Suivez et gérez tous les matériaux de mesure physique — articles de test, codes-barres, étiquettes RFID — à travers tout le réseau de panélistes. Traçabilité complète de la production au déploiement jusqu’au retour.","Rastree y gestione todos los materiales físicos de medición — artículos de prueba, códigos de barras, etiquetas RFID — en toda la red de panelistas. Trazabilidad completa desde la producción hasta el despliegue y la devolución.",تتبع وإدارة جميع مواد القياس الفيزيائية — عناصر الاختبار، الباركود، علامات RFID — عبر شبكة المشاركين بأكملها. تتبع كامل من الإنتاج إلى النشر ثم الإرجاع.
plat_stock_strong_1,Full lifecycle tracking,Suivi complet du cycle de vie,Seguimiento completo del ciclo de vida,تتبع دورة الحياة الكاملة
plat_stock_strong_2,Automated stock alerts,Alertes de stock automatisées,Alertas automáticas de stock,تنبيهات المخزون الآلية
plat_stock_strong_3,RFID tag management,Gestion des étiquettes RFID,Gestión de etiquetas RFID,إدارة علامات RFID
plat_stock_strong_4,Panelist kit management,Gestion des kits panélistes,Gestión del kit para panelistas,إدارة مجموعة المشاركين
how_h2_1,From opacity to transparency<br/>through independent measurement,De l’opacité à la transparence<br/>grâce à la mesure indépendante,De la opacidad a la transparencia<br/>a través de la medición independiente,من الغموض إلى الشفافية<br/>من خلال القياس المستقل
how_p_1,ONE MS offers two complementary measurement modes. They can be deployed independently or combined — each designed for a specific regulatory objective.,ONE MS offre deux modes de mesure complémentaires. Ils peuvent être déployés indépendamment ou combinés — chacun conçu pour un objectif réglementaire spécifique.,ONE MS ofrece dos modos de medición complementarios. Pueden desplegarse de forma independiente o combinada — cada uno diseñado para un objetivo regulatorio específico.,يقدم ONE MS وضعين تكميليين للقياس. يمكن نشرهما بشكل مستقل أو معًا — كل منهما مصمم لهدف تنظيمي محدد.
how_div_1,E2E,E2E,E2E,E2E
how_h3_1,End-to-End Measurement,Mesure de bout en bout,Medición de extremo a extremo,القياس من البداية إلى النهاية
how_p_2,The core regulatory layer,La couche réglementaire centrale,La capa regulatoria central,الطبقة التنظيمية الأساسية
how_p_3,Measures total transit time between two cities for a specific carrier and product. Independent panelists dispatch and receive real test items — the postal network is treated as a black box and the total time is what counts.,Mesure le temps total de transit entre deux villes pour un transporteur et un produit spécifiques. Des panélistes indépendants expédient et reçoivent de véritables articles de test — le réseau postal est traité comme une boîte noire et le temps total est ce qui compte.,Mide el tiempo total de tránsito entre dos ciudades para un transportista y producto específicos. Panelistas independientes despachan y reciben artículos de prueba reales — la red postal se trata como una caja negra y lo que cuenta es el tiempo total.,يقيس إجمالي وقت العبور بين مدينتين لحامل منتج معين. يقوم المشاركون المستقلون بإرسال واستلام عناصر اختبار حقيقية — تُعامل الشبكة البريدية كصندوق أسود والوقت الإجمالي هو المهم.
how_div_2,Regulatory use cases,Cas d’usage réglementaires,Casos de uso regulatorios,حالات الاستخدام التنظيمية
how_span_1,Quality of Service compliance,Conformité à la qualité de service,Cumplimiento de la calidad del servicio,الامتثال لجودة الخدمة
how_span_2,Licence management,Gestion des licences,Gestión de licencias,إدارة التراخيص
how_span_3,Consumer protection,Protection des consommateurs,Protección al consumidor,حماية المستهلك
how_span_4,Tariff decisions,Décisions tarifaires,Decisiones tarifarias,قرارات التعرفة
how_div_3,↓ See full detail below,↓ Voir le détail complet ci-dessous,↓ Ver detalle completo abajo,↓ انظر التفاصيل الكاملة أدناه
how_div_4,Can be combined,Peut être combiné,Puede combinarse,يمكن دمجهما
how_div_5,Diagnostic,Diagnostic,Diagnóstico,تشخيصي
how_h3_2,Network Diagnostic,Diagnostic réseau,Diagnóstico de red,تشخيص الشبكة
how_p_4,The operational intelligence layer,La couche d’intelligence opérationnelle,La capa de inteligencia operativa,طبقة الذكاء التشغيلي
how_em_1,where,où,donde,حيث
how_div_6,Regulatory use cases,Cas d’usage réglementaires,Casos de uso regulatorios,حالات الاستخدام التنظيمية
how_span_5,Root cause analysis,Analyse des causes profondes,Análisis de causa raíz,تحليل السبب الجذري
how_span_6,Corrective action evidence,Preuves d’actions correctives,Evidencia para acciones correctivas,أدلة الإجراءات التصحيحية
how_span_7,Network black spots,Zones blanches du réseau,Puntos negros en la red,النقاط السوداء في الشبكة
how_span_8,Operator benchmarking,Benchmarking des opérateurs,Benchmarking de operadores,مقارنة أداء المشغلين
how_div_7,↓ See full detail below,↓ Voir le détail complet ci-dessous,↓ Ver detalle completo abajo,↓ انظر التفاصيل الكاملة أدناه
how_e2e_div_1,E2E — End-to-End Measurement,E2E — Mesure de bout en bout,E2E — Medición de extremo a extremo,E2E — القياس من البداية إلى النهاية
how_e2e_h2_1,The black box approach:<br/>what matters is the total time,L’approche boîte noire :<br/>ce qui compte est le temps total,El enfoque de caja negra:<br/>lo que importa es el tiempo total,نهج الصندوق الأسود:<br/>ما يهم هو الوقت الإجمالي
how_e2e_p_1,Independent panelists dispatch and receive real postal items. The postal network between origin and destination is not instrumented — the E2E transit time is compared directly against the J+K standard to determine compliance.,Des panélistes indépendants expédient et reçoivent de véritables articles postaux. Le réseau postal entre l’origine et la destination n’est pas instrumenté — le temps de transit E2E est comparé directement à la norme J+K pour déterminer la conformité.,Panelistas independientes despachan y reciben artículos postales reales. La red postal entre origen y destino no está instrumentada — el tiempo de tránsito E2E se compara directamente con el estándar J+K para determinar el cumplimiento.,يقوم المشاركون المستقلون بإرسال واستلام عناصر بريدية حقيقية. الشبكة البريدية بين المنشأ والوجهة غير مزودة بأجهزة قياس — يتم مقارنة وقت العبور E2E مباشرة مع معيار J+K لتحديد الامتثال.
how_e2e_div_2,Definition,Définition,Definición,التعريف
how_e2e_div_3,Total transit time between two cities for a specific carrier and product.,Temps total de transit entre deux villes pour un transporteur et un produit spécifiques.,Tiempo total de tránsito entre dos ciudades para un transportista y producto específicos.,إجمالي وقت العبور بين مدينتين لشركة نقل ومنتج محددين.
how_e2e_div_4,Method,Méthode,Método,الطريقة
how_e2e_div_5,"Independent panelists or barcode scanning register dispatch and receipt times. Multi-carrier, multi-product: letters, parcels, express, registered mail.","Panelistes indépendants ou enregistrement par lecture de code-barres des heures d’expédition et de réception. Multi-transporteurs, multi-produits : lettres, colis, express, courrier recommandé.","Panelistas independientes o escaneo de código de barras registran los tiempos de despacho y recepción. Multitransportista, multiproducto: cartas, paquetes, exprés, correo registrado.",لجان مستقلة أو مسح الباركود لتسجيل أوقات الإرسال والاستلام. متعدد الناقلين، متعدد المنتجات: رسائل، طرود، بريد سريع، بريد مسجل.
how_e2e_div_6,Outcome,Résultat,Resultado,النتيجة
how_e2e_div_7,"Verified compliance with delivery standards. Evidence base for regulatory action, tariff decisions, and licence management.","Conformité vérifiée aux normes de livraison. Base probante pour les actions réglementaires, décisions tarifaires et gestion des licences.","Cumplimiento verificado con los estándares de entrega. Base de evidencia para acción regulatoria, decisiones tarifarias y gestión de licencias.",الامتثال المؤكد لمعايير التسليم. قاعدة أدلة للإجراءات التنظيمية، قرارات التعريفات، وإدارة التراخيص.
how_e2e_div_8,Origin panelist — City A,Paneliste d’origine — Ville A,Panelista de origen — Ciudad A,عضو اللجنة في الأصل — المدينة أ
how_e2e_div_9,An independent panelist dispatches a real test item from City A using the operator's normal service. The injection timestamp (T inject) is recorded automatically via the ONE Agent App. The panelist is fully independent — not affiliated with the operator.,Un paneliste indépendant expédie un véritable article test depuis la Ville A en utilisant le service normal de l’opérateur. L’horodatage d’injection (T inject) est enregistré automatiquement via l’application ONE Agent. Le paneliste est totalement indépendant — non affilié à l’opérateur.,Un panelista independiente despacha un artículo de prueba real desde Ciudad A usando el servicio normal del operador. La marca de tiempo de inyección (T inject) se registra automáticamente mediante la ONE Agent App. El panelista es completamente independiente — no está afiliado al operador.,يقوم عضو لجنة مستقل بإرسال عنصر اختبار حقيقي من المدينة أ باستخدام الخدمة العادية للمشغل. يتم تسجيل الطابع الزمني للإدخال (T inject) تلقائيًا عبر تطبيق ONE Agent. العضو مستقل تمامًا — غير مرتبط بالمشغل.
how_e2e_div_10,→ Panelist Management · Agent App · Allocation Plan,→ Gestion des panelistes · Application Agent · Plan d’allocation,→ Gestión de Panelistas · Agent App · Plan de Asignación,→ إدارة الأعضاء · تطبيق الوكيل · خطة التخصيص
how_e2e_div_11,The postal network — a measured black box,Le réseau postal — une boîte noire mesurée,La red postal — una caja negra medida,الشبكة البريدية — صندوق أسود مقاس
how_e2e_div_12,"E2E does not instrument the internal network. The sorting centres, transport legs, and delivery offices between City A and City B are not individually tracked. What matters is the total transit time. If performance fails, Network Diagnostic opens this box to find exactly where.","E2E n’instrumente pas le réseau interne. Les centres de tri, les segments de transport et les bureaux de livraison entre la Ville A et la Ville B ne sont pas suivis individuellement. Ce qui importe, c’est le temps total de transit. En cas de défaillance de performance, Network Diagnostic ouvre cette boîte pour localiser précisément le problème.","E2E no instrumenta la red interna. Los centros de clasificación, tramos de transporte y oficinas de entrega entre Ciudad A y Ciudad B no se rastrean individualmente. Lo que importa es el tiempo total de tránsito. Si el rendimiento falla, Network Diagnostic abre esta caja para encontrar exactamente dónde.",لا يقوم E2E بأدوات قياس داخلية للشبكة. مراكز الفرز، مراحل النقل، ومكاتب التسليم بين المدينة أ والمدينة ب غير متتبعة بشكل فردي. المهم هو إجمالي وقت العبور. إذا فشل الأداء، يفتح تشخيص الشبكة هذا الصندوق لمعرفة الموقع بالضبط.
how_e2e_div_13,→ E2E Events DB · Compliance Report · Territory Equity Report,→ Base de données des événements E2E · Rapport de conformité · Rapport d’équité territoriale,→ Base de Datos de Eventos E2E · Informe de Cumplimiento · Informe de Equidad Territorial,→ قاعدة بيانات أحداث E2E · تقرير الامتثال · تقرير عدالة الإقليم
how_e2e_div_14,Destination panelist — City B,Paneliste de destination — Ville B,Panelista de destino — Ciudad B,عضو اللجنة في الوجهة — المدينة ب
how_e2e_strong_1,T delivery − T inject = E2E transit time,T livraison − T inject = temps de transit E2E,T delivery − T inject = tiempo de tránsito E2E,T delivery − T inject = وقت عبور E2E
how_e2e_div_15,→ J+K Performance Report · Regulatory Compliance Report,→ Rapport de performance J+K · Rapport de conformité réglementaire,→ Informe de Rendimiento J+K · Informe de Cumplimiento Regulatorio,→ تقرير أداء J+K · تقرير الامتثال التنظيمي
how_e2e_span_1,END-TO-END: CITY-TO-CITY MEASUREMENT,MESURE DE BOUT EN BOUT : VILLE À VILLE,MEDICIÓN DE PUNTO A PUNTO: DE CIUDAD A CIUDAD,القياس من طرف إلى طرف: من مدينة إلى مدينة
how_e2e_div_16,City A,Ville A,Ciudad A,المدينة أ
how_e2e_div_17,ORIGIN,ORIGINE,ORIGEN,الأصل
how_e2e_div_18,Panelist,Paneliste,Panelista,عضو اللجنة
how_e2e_div_19,J+K target,Objectif J+K,Objetivo J+K,هدف J+K
how_e2e_small_1,Sorting · Transport · Delivery,Tri · Transport · Livraison,Clasificación · Transporte · Entrega,الفرز · النقل · التسليم
how_e2e_div_20,City B,Ville B,Ciudad B,المدينة ب
how_e2e_div_21,DESTINATION,DESTINATION,DESTINO,الوجهة
how_e2e_div_22,Panelist,Paneliste,Panelista,عضو اللجنة
how_e2e_span_2,T inject,T inject,T inject,T inject
how_e2e_span_3,T delivery,T livraison,T delivery,T delivery
how_e2e_div_23,ONE MS Modules included,Modules ONE MS inclus,Módulos ONE MS incluidos,الوحدات المضمنة في ONE MS
how_e2e_div_24,Field Operations,Opérations sur le terrain,Operaciones de Campo,العمليات الميدانية
how_e2e_em_1,AI-assisted via Telegram,Assisté par IA via Telegram,Asistencia AI vía Telegram,مساعدة الذكاء الاصطناعي عبر Telegram
how_e2e_p_2,Independent panelists operate through a purpose-built mobile interface integrated with Telegram. AI assistance guides agents through each measurement task — reducing errors and ensuring data quality at the point of capture.,Les panelistes indépendants opèrent via une interface mobile spécialement conçue intégrée à Telegram. L’assistance IA guide les agents à travers chaque tâche de mesure — réduisant les erreurs et garantissant la qualité des données au point de capture.,Panelistas independientes operan a través de una interfaz móvil diseñada específicamente integrada con Telegram. La asistencia AI guía a los agentes en cada tarea de medición — reduciendo errores y asegurando la calidad de los datos en el punto de captura.,يعمل الأعضاء المستقلون من خلال واجهة محمولة مصممة خصيصًا ومتكاملة مع Telegram. توجه المساعدة بالذكاء الاصطناعي الوكلاء خلال كل مهمة قياس — مما يقلل الأخطاء ويضمن جودة البيانات عند نقطة الالتقاط.
how_e2e_strong_2,Zero-friction onboarding,Intégration sans friction,Incorporación sin fricciones,الانضمام بدون احتكاك
how_e2e_strong_3,AI-guided task execution,Exécution des tâches guidée par IA,Ejecución de tareas guiada por AI,تنفيذ المهام بإرشاد الذكاء الاصطناعي
how_e2e_strong_4,Automatic timestamp capture,Capture automatique des horodatages,Captura automática de marcas de tiempo,التقاط الطابع الزمني تلقائيًا
how_e2e_strong_5,Multilingual support,Support multilingue,Soporte multilingüe,دعم متعدد اللغات
how_e2e_div_25,ONE Agent App — Telegram Interface,Application ONE Agent — Interface Telegram,ONE Agent App — Interfaz Telegram,تطبيق ONE Agent — واجهة Telegram
how_e2e_strong_6,New task assigned,Nouvelle tâche assignée,Nueva tarea asignada,تم تعيين مهمة جديدة
how_e2e_div_26,✅ Item received. Ready to dispatch.,✅ Article reçu. Prêt à être expédié.,✅ Ítem recibido. Listo para despachar.,✅ تم استلام العنصر. جاهز للإرسال.
how_e2e_strong_7,Dispatch confirmed,Expédition confirmée,Despacho confirmado,تم تأكيد الإرسال
how_e2e_strong_8,Delivery expected,Livraison attendue,Entrega esperada,التسليم متوقع
how_e2e_div_27,✅ Delivered. Condition: Good.,✅ Livré. État : Bon.,✅ Entregado. Estado: Bueno.,✅ تم التسليم. الحالة: جيدة.
how_e2e_strong_9,E2E recorded,E2E enregistré,E2E registrado,تم تسجيل E2E
how_e2e_span_4,COMPLIANT,CONFORME,CUMPLE,متوافق
how_e2e_div_28,Data capture accuracy,Précision de la capture des données,Precisión en la captura de datos,دقة التقاط البيانات
how_e2e_div_29,Manual entry errors,Erreurs de saisie manuelle,Errores de entrada manual,أخطاء الإدخال اليدوي
how_diag_div_1,Diagnostic — Network Measurement,Diagnostic — Mesure du réseau,Diagnóstico — Medición de Red,التشخيص — قياس الشبكة
how_diag_h2_1,Inside the black box:<br/>pinpoint where delays occur,À l’intérieur de la boîte noire :<br/>localiser précisément où les retards se produisent,Dentro de la caja negra:<br/>identifique dónde ocurren los retrasos,داخل الصندوق الأسود:<br/>تحديد مكان حدوث التأخيرات
how_diag_p_1,"Network Diagnostic extends E2E by instrumenting every node in the postal chain. RFID readers at sorting centres and transport checkpoints capture exact timestamps at each stage — turning the black box into a transparent, measurable system.",Le Diagnostic Réseau étend E2E en instrumentant chaque nœud de la chaîne postale. Les lecteurs RFID aux centres de tri et aux points de contrôle de transport capturent des horodatages exacts à chaque étape — transformant la boîte noire en un système transparent et mesurable.,El Diagnóstico de Red extiende E2E instrumentando cada nodo en la cadena postal. Los lectores RFID en los centros de clasificación y puntos de control de transporte capturan marcas de tiempo exactas en cada etapa — convirtiendo la caja negra en un sistema transparente y medible.,يمتد التشخيص الشبكي E2E من خلال تجهيز كل عقدة في سلسلة البريد. تلتقط قارئات RFID في مراكز الفرز ونقاط تفتيش النقل الطوابع الزمنية الدقيقة في كل مرحلة — مما يحول الصندوق الأسود إلى نظام شفاف وقابل للقياس.
how_diag_div_2,Definition,Définition,Definición,التعريف
how_diag_div_3,"Extends E2E by measuring intermediate points — sorting centres, transport legs, and post offices.","Étend E2E en mesurant les points intermédiaires — centres de tri, tronçons de transport et bureaux de poste.","Extiende E2E midiendo puntos intermedios — centros de clasificación, tramos de transporte y oficinas postales.",يمتد E2E بقياس النقاط الوسيطة — مراكز الفرز، مراحل النقل، والمكاتب البريدية.
how_diag_div_4,Method,Méthode,Método,الطريقة
how_diag_div_5,RFID readers at facility entry/exit gates capture exact timestamps. Integrated with carrier systems via API. No manual intervention required.,Les lecteurs RFID aux portails d’entrée/sortie des installations capturent des horodatages exacts. Intégré aux systèmes des transporteurs via API. Aucune intervention manuelle requise.,Los lectores RFID en las puertas de entrada/salida de las instalaciones capturan marcas de tiempo exactas. Integrado con sistemas de transportistas vía API. No se requiere intervención manual.,تلتقط قارئات RFID عند بوابات دخول/خروج المنشأة الطوابع الزمنية الدقيقة. متكاملة مع أنظمة الناقل عبر API. لا حاجة لتدخل يدوي.
how_diag_div_6,Outcome,Résultat,Resultado,النتيجة
how_diag_div_7,Identifies root causes of E2E failures. Enables targeted corrective action. Supports network black spot detection and centre efficiency benchmarking.,Identifie les causes profondes des défaillances E2E. Permet des actions correctives ciblées. Soutient la détection des points noirs du réseau et le benchmarking de l’efficacité des centres.,Identifica las causas raíz de fallos en E2E. Permite acciones correctivas específicas. Apoya la detección de puntos negros en la red y la evaluación de eficiencia de centros.,تحدد الأسباب الجذرية لفشل E2E. تمكّن من اتخاذ إجراءات تصحيحية مستهدفة. تدعم اكتشاف النقاط السوداء في الشبكة وتقييم كفاءة المراكز.
how_diag_div_8,Origin Sorting Centre,Centre de tri d’origine,Centro de Clasificación de Origen,مركز الفرز الأصلي
how_diag_div_9,RFID readers at entry and exit gates capture the exact time each item spends inside this facility. The system measures: time from arrival → processing → departure. Compared across all routes and centres to identify operational outliers.,Les lecteurs RFID aux portails d’entrée et de sortie capturent le temps exact que chaque article passe dans cette installation. Le système mesure : temps d’arrivée → traitement → départ. Comparé sur toutes les routes et centres pour identifier les anomalies opérationnelles.,Los lectores RFID en las puertas de entrada y salida capturan el tiempo exacto que cada artículo pasa dentro de esta instalación. El sistema mide: tiempo desde llegada → procesamiento → salida. Se compara entre todas las rutas y centros para identificar desviaciones operativas.,تلتقط قارئات RFID عند بوابات الدخول والخروج الوقت الدقيق الذي يقضيه كل عنصر داخل هذه المنشأة. يقيس النظام: الوقت من الوصول → المعالجة → المغادرة. يُقارن عبر جميع المسارات والمراكز لتحديد الحالات الشاذة التشغيلية.
how_diag_div_10,→ Postal Centre Diagnostic · Centre Efficiency Ranking,→ Diagnostic du centre postal · Classement de l’efficacité des centres,→ Diagnóstico de Centro Postal · Clasificación de Eficiencia de Centros,→ تشخيص المركز البريدي · تصنيف كفاءة المركز
how_diag_div_11,Transport Legs,Tronçons de transport,Tramos de Transporte,مراحل النقل
how_diag_div_12,"The time between departure from one centre and arrival at the next. RFID captures exact loading/unloading timestamps. The system builds a reliability profile for every transport link: on-time rate, average delay, variance. Green Lanes and Black Spots are ranked automatically.","Le temps entre le départ d’un centre et l’arrivée au suivant. RFID capture les horodatages exacts de chargement/déchargement. Le système construit un profil de fiabilité pour chaque liaison de transport : taux de ponctualité, retard moyen, variance. Les Voies Vertes et Points Noirs sont classés automatiquement.","El tiempo entre la salida de un centro y la llegada al siguiente. RFID captura marcas de tiempo exactas de carga/descarga. El sistema construye un perfil de confiabilidad para cada enlace de transporte: tasa de puntualidad, retraso promedio, varianza. Los Carriles Verdes y Puntos Negros se clasifican automáticamente.",الوقت بين المغادرة من مركز والوصول إلى المركز التالي. تلتقط RFID الطوابع الزمنية الدقيقة للتحميل/التفريغ. يبني النظام ملف موثوقية لكل رابط نقل: معدل الالتزام بالوقت، متوسط التأخير، التباين. يتم تصنيف الممرات الخضراء والنقاط السوداء تلقائيًا.
how_diag_div_13,→ Transport Reliability Analysis · Network Black Spots,→ Analyse de la fiabilité du transport · Points noirs du réseau,→ Análisis de Confiabilidad de Transporte · Puntos Negros de la Red,→ تحليل موثوقية النقل · النقاط السوداء في الشبكة
how_diag_div_14,Intermediate &amp; Destination Centres,Centres intermédiaires &amp; de destination,Centros Intermedios y de Destino,المراكز الوسيطة والوجهة
how_diag_div_15,Intermediate centres are often hidden bottlenecks — items may arrive on time but accumulate delays before onward transport. Destination centre delays directly cause consumer-facing failures. Diagnostic isolates each contribution to the total E2E time.,Les centres intermédiaires sont souvent des goulets d’étranglement cachés — les articles peuvent arriver à l’heure mais accumuler des retards avant le transport suivant. Les retards au centre de destination causent directement des échecs visibles par le consommateur. Le Diagnostic isole chaque contribution au temps total E2E.,Los centros intermedios suelen ser cuellos de botella ocultos — los artículos pueden llegar a tiempo pero acumular retrasos antes del transporte siguiente. Los retrasos en el centro de destino causan fallos directamente visibles para el consumidor. El diagnóstico aísla cada contribución al tiempo total de E2E.,غالبًا ما تكون المراكز الوسيطة عنق زجاجة مخفي — قد تصل العناصر في الوقت المحدد لكنها تتراكم تأخيرات قبل النقل التالي. تؤدي تأخيرات مركز الوجهة مباشرة إلى فشل يواجه المستهلك. يعزل التشخيص كل مساهمة في إجمالي وقت E2E.
how_diag_div_16,→ Postal Centre Diagnostic · Territory Equity Report,→ Diagnostic du centre postal · Rapport d’équité territoriale,→ Diagnóstico de Centro Postal · Informe de Equidad Territorial,→ تشخيص المركز البريدي · تقرير عدالة الإقليم
how_diag_span_1,NETWORK DIAGNOSTIC: FULL CHAIN,DIAGNOSTIC RÉSEAU : CHAÎNE COMPLÈTE,DIAGNÓSTICO DE RED: CADENA COMPLETA,التشخيص الشبكي: السلسلة الكاملة
how_diag_div_17,Origin<br/>Panelist,Origine<br/>Panéliste,Origen<br/>Panelista,الأصل<br/>المشارك
how_diag_div_18,1.2h,"1,2h",1.2h,1.2س
how_diag_div_19,Origin<br/>Centre,Origine<br/>Centre,Origen<br/>Centro,مركز<br/>الأصل
how_diag_div_20,3.8h,"3,8h",3.8h,3.8س
how_diag_div_21,Intermediate<br/>Centre,Centre<br/>intermédiaire,Intermedio<br/>Centro,مركز<br/>وسيطي
how_diag_div_22,6.1h ⚠,"6,1h ⚠",6.1h ⚠,6.1س ⚠
how_diag_div_23,Destination<br/>Centre,Centre<br/>de destination,Destino<br/>Centro,مركز<br/>الوجهة
how_diag_div_24,0.8h,"0,8h",0.8h,0.8س
how_diag_div_25,Destination<br/>Panelist,Destination<br/>Panéliste,Destino<br/>Panelista,الوجهة<br/>المشارك
how_diag_span_2,On target,Dans les temps,En objetivo,على الهدف
how_diag_span_3,Delayed,Retardé,Retrasado,متأخر
how_diag_span_4,Black spot,Point noir,Punto negro,نقطة سوداء
how_diag_div_26,ONE MS Modules included,Modules ONE MS inclus,Módulos ONE MS incluidos,الوحدات المضمنة في ONE MS
global_p_5,You’ve seen how E2E and Diagnostic work together,Vous avez vu comment E2E et Diagnostic fonctionnent ensemble,Ha visto cómo E2E y Diagnóstico trabajan juntos,لقد رأيت كيف يعمل E2E والتشخيص معًا
global_h3_2,Seen enough to know this is what<br/>your regulator needs?,Assez vu pour savoir que c’est ce dont<br/>votre régulateur a besoin ?,¿Ha visto suficiente para saber que esto es lo que<br/>su regulador necesita?,هل رأيت ما يكفي لتعرف أن هذا ما يحتاجه<br/>المنظم الخاص بك؟
diag_tech_div_1,Diagnostic Data Capture,Capture des données de diagnostic,Captura de Datos de Diagnóstico,التقاط بيانات التشخيص
diag_tech_h2_1,Three technologies.<br/>One unified diagnostic layer.,Trois technologies.<br/>Une couche de diagnostic unifiée.,Tres tecnologías.<br/>Una capa diagnóstica unificada.,ثلاث تقنيات.<br/>طبقة تشخيص موحدة واحدة.
diag_tech_p_1,"Network Diagnostic analysis requires data captured at every node of the postal network — sorting centres, transport links, and delivery offices. ONE MS integrates three complementary capture technologies, giving regulators a complete and independent view of internal network performance.","L'analyse diagnostique du réseau nécessite des données capturées à chaque nœud du réseau postal — centres de tri, liaisons de transport et bureaux de distribution. ONE MS intègre trois technologies de capture complémentaires, offrant aux régulateurs une vue complète et indépendante de la performance interne du réseau.","El análisis de diagnóstico de red requiere datos capturados en cada nodo de la red postal — centros de clasificación, enlaces de transporte y oficinas de entrega. ONE MS integra tres tecnologías de captura complementarias, proporcionando a los reguladores una visión completa e independiente del rendimiento interno de la red.",يتطلب تحليل التشخيص الشبكي بيانات يتم التقاطها في كل عقدة من شبكة البريد — مراكز الفرز، روابط النقل، ومكاتب التسليم. يدمج ONE MS ثلاث تقنيات التقاط مكملة، مما يمنح المنظمين رؤية كاملة ومستقلة لأداء الشبكة الداخلية.
diag_tech_div_2,Technology 01,Technologie 01,Tecnología 01,التقنية 01
diag_tech_h3_1,RFID Tracking,Suivi RFID,Seguimiento RFID,تتبع RFID
diag_tech_p_2,"Radio Frequency Identification tags are attached to test items at injection. As items pass through each facility — sorting centres, transport hubs, delivery offices — fixed RFID readers capture the timestamp automatically, without any human intervention.","Des étiquettes d'identification par radiofréquence sont attachées aux articles test lors de l'injection. Lorsque les articles traversent chaque installation — centres de tri, hubs de transport, bureaux de distribution — des lecteurs RFID fixes capturent automatiquement l'horodatage, sans aucune intervention humaine.","Las etiquetas de Identificación por Radiofrecuencia se adhieren a los artículos de prueba en el momento de la inyección. A medida que los artículos pasan por cada instalación — centros de clasificación, nodos de transporte, oficinas de entrega — los lectores RFID fijos capturan automáticamente la marca temporal, sin intervención humana.",تُرفق علامات التعريف بالترددات الراديوية (RFID) بالعناصر الاختبارية عند الإدخال. وعندما تمر العناصر عبر كل منشأة — مراكز الفرز، محاور النقل، مكاتب التسليم — تلتقط قارئات RFID الثابتة الطابع الزمني تلقائيًا، دون أي تدخل بشري.
diag_tech_div_3,Capture method,Méthode de capture,Método de captura,طريقة الالتقاط
diag_tech_div_4,Passive UHF RFID tags read by fixed antenna arrays at facility entry/exit points,Étiquettes RFID UHF passives lues par des antennes fixes aux points d'entrée/sortie des installations,Etiquetas RFID UHF pasivas leídas por matrices de antenas fijas en puntos de entrada/salida de la instalación,علامات RFID UHF السلبية تُقرأ بواسطة مصفوفات هوائيات ثابتة عند نقاط دخول/خروج المنشأة
diag_tech_div_5,Data captured,Données capturées,Datos capturados,البيانات الملتقطة
diag_tech_div_6,"Arrival and departure timestamps per facility, dwell time, processing sequence","Horodatages d'arrivée et de départ par installation, temps de séjour, séquence de traitement","Marcas temporales de llegada y salida por instalación, tiempo de permanencia, secuencia de procesamiento",طوابع الوصول والمغادرة لكل منشأة، زمن الإقامة، تسلسل المعالجة
diag_tech_div_7,Diagnostic value,Valeur diagnostique,Valor diagnóstico,القيمة التشخيصية
diag_tech_div_8,Pinpoints exactly where time is lost within the network — isolating process gaps from resource gaps at each sorting centre,Localise précisément où le temps est perdu dans le réseau — isolant les lacunes de processus des lacunes de ressources à chaque centre de tri,Localiza exactamente dónde se pierde tiempo dentro de la red — aislando brechas de proceso de brechas de recursos en cada centro de clasificación,تحدد بدقة مكان فقدان الوقت داخل الشبكة — معزولة فجوات العمليات عن فجوات الموارد في كل مركز فرز
diag_tech_div_9,Reports enabled,Rapports disponibles,Informes habilitados,التقارير الممكنة
diag_tech_div_10,Postal Centre Diagnostic · Transport Reliability Analysis · Network Black Spots &amp; Green Lanes,Diagnostic du Centre Postal · Analyse de la Fiabilité du Transport · Points Noirs &amp; Voies Vertes du Réseau,Diagnóstico de Centro Postal · Análisis de Fiabilidad del Transporte · Puntos Negros y Carriles Verdes de la Red,تشخيص مركز البريد · تحليل موثوقية النقل · النقاط السوداء والمسارات الخضراء في الشبكة
